Question Text,Option 1 Text,Option 2 Text,Option 3 Text,Option 4 Text Answer
You are providing gait training for a patient. The orthopedic surgeon has advised you to use a three-point gait pattern with axillary crutch non weight bearing on the right lower extremity. The patient will need to be measured for correct crutch fitting. Which of the following would be the degree of elbow flexion that would be most desirable for axillary crutches?,10-20 degrees,40 degrees,30 degrees,20-30 degrees
"You are performing physical therapy on a patient with osteoarthritis in the right hip. After several sessions of heat, ultrasound, and therapeutic exercise, the patient reports that he is feeling the best that he has ever felt. At the end of the session the patient decides to shake your hand and slips you a 20 dollar bill. Which of the following would be proper to do in this situation?",Keep the $20 tip and slip it in your pocket,Keep the money and place it in the coffee can in the department,"Explain to the judge that you appreciate his tip but that in a professional relationship, it is unethical for you to accept tips",Keep the tip and donate it to a charity
"You are performing an evaluation on a patient secondary to a wrist injury from an industrial accident. Upon testing, the patient has a positive Tinel's sign. A positive Tinel's sign would indicate pain over which of the following?",Severed cutaneous branch of a nerve,Severed nerve root,Severed dermatome,Severed nerve
"In a research study, the test yields a statement saying the probability of the distribution obtained occurred by chance alone. This is a statistical test for an association between observed data and expected data represented by frequencies. Which of the following does this define?",Null Hypothesis,T-Test,Data,Chi-Square
"The local community center calls you and asks if you will come over and perform a class on self-range of motion to senior citizens to help them maintain their motion. When you go to the geriatric center, which of the following movements would you least likely emphasize?",Chin tucks,Pectoralis stretch,Shoulder flexion,Hip flexion
You are performing a pediatric assessment for growth and development in a 9-month-old patient. Which of the following should this patient be able to perform?,The patient should be able to stand and walk holding onto furniture,The patient should be able to stand and walk unaided,The patient should be able to sit on a small chair,The patient should be able to sit alone and crawl
You are in the medical tent for a triathlon. You are monitoring the patient closely during the race due to extreme heat and humidity. What is the primary mode of heat loss during exercise?,Conduction,Convection,Radiation,Evaporation
It is vital to include the following in a treatment program for a patient with cystic fibrosis. However the most important intervention is?,Education,Gait training,Coughing,Postural Drainage
You are debriding a decubitus ulcer after a whirlpool treatment. The therapist should take off sterile patient care gloves after?,Completing debridement and transporting the patient to the patient waiting area,Cleaning the whirlpool,Contact with the patient's ulcer,Completing debridement
You are performing a home visit for a patient who resides alone and is three weeks status post-total hip arthoplasty. They are partially weightbearing on the affected side. The most appropriate recommendation is?,Raised toilet seat and seat in shower,Grab bars in the shower and next to the toilet,Patient should not shower until she is full weightbearing,"Raised toilet seat with rails, tub bench, and hand held shower"
Rhythmic stabilization can increase joint stability. What kind of technique is it?,Isotonic,Isokinetic,Eccentric,Isometric
Rhythmic stabilization can increase joint stability. What kind of technique is it?,Isotonic,Isokinetic,Eccentric,Isometric
You are preparing a patient for postural drainage to the lateral basal lung segments. Standard positioning for the lung segments is contraindicated secondary to the patient's inability to tolerate an increase in venous return. A more optimal position would be?,Positioning the patient in sidelying with a small incline in the head and chest,Placing the patient in Trendelenberg,Placing the patient in reverse Trendelenberg,Positioning the patient in sidelying with a small decline in the head and chest
Which diagnostic tool is used to identify and extrinsic spinal cord lesions by injecting radioactive materal into the spinal canal?,Fluoroscopy,Nuclear magnetic resonance,Arthrogram,Myelogram
A C4 quadriplegic is able to adduct the scapulae using the ___?,Supraspinatus,Rhomboids,Levator scapulae,Middle trapezius
"During the ICU you are treating a patient with pneuonia and they are positioned supine with a pillow under their knees. You are performing percussion and vibration between the clavicle and chest, this technique is effective for?",Posterior basal segments of the lower lobes,Superior segents of the lower lobes,Anterior basal segments of the lower lobes,Anterior segments of the upper lobes
During the ICU you are treating a patient with pneuonia and they are positioned prone and with their feet positioned above their head. You are performing percussion and vibration between the shoulder blades this technique is effective for?,Anterior segments of the upper lobes,Superior segents of the lower lobes,Anterior basal segments of the lower lobes,Posterior basal segments of the lower lobes
"During the ICU you are treating a patient with pneuonia and they are positioned supine with their feet positioned above their head.. You are performing percussion and vibration between the clavicle and chest, this technique is effective for?",Posterior basal segments of the lower lobes,Superior segents of the lower lobes,Anterior segments of the upper lobes,Anterior basal segments of the lower lobes
"During the ICU you are treating a patient with pneuonia and they are positioned pronewith a pillow under their knees. You are performing percussion and vibration between the shoulder blades, this technique is effective for?",Posterior basal segments of the lower lobes,Anterior segments of the upper lobes,Anterior basal segments of the lower lobes,Superior segents of the lower lobes
What could cause the left side of the pelvis to drop during the right stance phase of gait on a patient with a right above knee prosthesis?,Weak transverse abdominus,Weak hip flexors,Weak hip external rotators,Weak hip abductors
A hemiplegic patient is observed during gait training. The patient performs side stepping towards the hemiplegic side. You expect compensation by the patient for the weak abductors via?,Hip hiking of the unaffected side,Lateral trunk flexion towards the hemiplegic side,Hip extension of the hemiplegic side,Lateral trunk flexion towards the unaffected side
You are treating a patient post-op an exploratory laparotomy and they develop an acute deep vein thrombosis of the right calf. What is yout role?,Continue passive exercises and partial weight bearing,Continue light resistance exercises,Diaphragmatic breathing and postural drainage,Bedrest and no active therapy 
A C6 quadriplegic would have all of the following muscles innervated except?,Biceps,Deltoids,Diaphragm,Triceps
A C5 quadriplegic would have all of the following muscles innervated except?,Biceps,Pectoralis,Deltoid,Supinator
At what level is it realistic for a spinal cord injured patient to functionally ambulate?,T10,T9,T11,L1
You are performing a passive range of motion to a patient with C7 quadriplegia. Their bilateral straight leg raise is measured passively to 90 degrees. What can you conclude regarding their ADLs?,They require a straight leg raise of 150 degrees in order to perform long sit and activities of daily living.,Their range of motion is beyond the expected limit for long sitting and activities of daily living.,They are at a functional range to perform long sitting and their ADLs,They require a straight leg raise of 110-120 degrees to perform long sit and their ADLs
What sequence is optimal for negotiating stairs with crutches?,"Crutches, uninvolved leg, involved leg","Involve leg, crutches, uninvolved leg","Uninvolved leg, crutches, involved leg","Crutches, involved leg, uninvolved leg"
